no;source;target;module;weight
242;deleteTokenKongProdG2;table;dbKongProdG2;3599
243;deleteTokenKongProdG2;moment;dbKongProdG2;3599
244;deleteTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
245;deleteTokenKongProdG2;timenow;dbKongProdG2;3599
246;deleteTokenKongProdG2;time14days;dbKongProdG2;3599
247;getRecentNibHeader;connection;tregNibHeader;3599
248;getRecentNibHeader;table;tregNibHeader;3599
249;getRecentNibHeader;tregNibHeader;tregNibHeader;3599
250;getRecentNibHeaderBy9DigitNpwp;connection;tregNibHeader;3599
251;getRecentNibHeaderBy9DigitNpwp;table;tregNibHeader;3599
252;getRecentNibHeaderBy9DigitNpwp;tregNibHeader;tregNibHeader;3599
253;checkExistingAuth;connection;authz;3599
254;checkExistingAuth;table;authz;3599
255;checkExistingAuth;tableScope;authz;3599
256;checkExistingAuth;authz;authz;3599
257;getRefScope;connection;authz;3599
258;getRefScope;table;authz;3599
259;getRefScope;tableScope;authz;3599
260;getRefScope;authz;authz;3599
261;getGenerateNumber;connection;generateNumber;3599
262;getGenerateNumber;generateNumber;generateNumber;3599
263;getGenerateNumber;tableGenerate;generateNumber;3599
264;updateGenerateNumber;connection;generateNumber;3599
265;updateGenerateNumber;generateNumber;generateNumber;3599
266;updateGenerateNumber;tableGenerate;generateNumber;3599
267;getNotifPreferences;connection;notifPrefences;3599
268;getNotifPreferences;statusCode;notifPrefences;3599
269;getNotifPreferences;table;notifPrefences;3599
270;getNotifPreferences;organizations;notifPrefences;3599
271;getNotifPreferences;users;notifPrefences;3599
272;getNotifPreferences;notifPrefences;notifPrefences;3599
273;setNotifPreferences;connection;notifPrefences;3599
274;setNotifPreferences;statusCode;notifPrefences;3599
275;setNotifPreferences;table;notifPrefences;3599
276;setNotifPreferences;organizations;notifPrefences;3599
277;setNotifPreferences;users;notifPrefences;3599
278;setNotifPreferences;notifPrefences;notifPrefences;3599
279;updateNotifPreferences;connection;notifPrefences;3599
280;updateNotifPreferences;statusCode;notifPrefences;3599
281;updateNotifPreferences;table;notifPrefences;3599
282;updateNotifPreferences;organizations;notifPrefences;3599
283;updateNotifPreferences;users;notifPrefences;3599
284;updateNotifPreferences;notifPrefences;notifPrefences;3599
285;deleteNotifPreferences;connection;notifPrefences;3599
286;deleteNotifPreferences;statusCode;notifPrefences;3599
287;deleteNotifPreferences;table;notifPrefences;3599
288;deleteNotifPreferences;organizations;notifPrefences;3599
289;deleteNotifPreferences;users;notifPrefences;3599
290;deleteNotifPreferences;notifPrefences;notifPrefences;3599
291;updateKswpStatus;connection;organization;3599
292;updateKswpStatus;table;organization;3599
293;updateKswpStatus;table_ga;organization;3599
294;updateKswpStatus;tableUserRegist;organization;3599
295;updateKswpStatus;tableUsers;organization;3599
296;updateKswpStatus;organization;organization;3599
297;checkNpwpActive;connection;organization;3599
298;checkNpwpActive;table;organization;3599
299;checkNpwpActive;table_ga;organization;3599
300;checkNpwpActive;tableUserRegist;organization;3599
301;checkNpwpActive;tableUsers;organization;3599
302;checkNpwpActive;organization;organization;3599
303;checkNibActive;connection;organization;3599
304;checkNibActive;table;organization;3599
305;checkNibActive;table_ga;organization;3599
306;checkNibActive;tableUserRegist;organization;3599
307;checkNibActive;tableUsers;organization;3599
308;checkNibActive;organization;organization;3599
309;insertNewOrganization;connection;organization;3599
310;insertNewOrganization;table;organization;3599
311;insertNewOrganization;table_ga;organization;3599
312;insertNewOrganization;tableUserRegist;organization;3599
313;insertNewOrganization;tableUsers;organization;3599
314;insertNewOrganization;organization;organization;3599
315;getOrganizationGa;connection;organization;3599
316;getOrganizationGa;table;organization;3599
317;getOrganizationGa;table_ga;organization;3599
318;getOrganizationGa;tableUserRegist;organization;3599
319;getOrganizationGa;tableUsers;organization;3599
320;getOrganizationGa;organization;organization;3599
321;updateActivateOrg;connection;organization;3599
322;updateActivateOrg;table;organization;3599
323;updateActivateOrg;table_ga;organization;3599
324;updateActivateOrg;tableUserRegist;organization;3599
325;updateActivateOrg;tableUsers;organization;3599
326;updateActivateOrg;organization;organization;3599
327;checkOrgStatus;connection;organization;3599
328;checkOrgStatus;table;organization;3599
329;checkOrgStatus;table_ga;organization;3599
330;checkOrgStatus;tableUserRegist;organization;3599
331;checkOrgStatus;tableUsers;organization;3599
332;checkOrgStatus;organization;organization;3599
333;getRefUser;connection;refs;3599
334;getRefUser;tableJnsIdentitas;refs;3599
335;getRefUser;tableJnsNib;refs;3599
336;getRefUser;tableJnsNpwp;refs;3599
337;getRefUser;tableJnsType;refs;3599
338;getRefUser;tableJnsUserRegister;refs;3599
339;getRefUser;tableTujuanUserRegister;refs;3599
340;getRefUser;tableJnsUsaha;refs;3599
341;getRefUser;tableGa;refs;3599
342;getRefUser;tableOrganizationGa;refs;3599
343;getRefUser;tableLoginType;refs;3599
344;getRefUser;tablePengumuman;refs;3599
345;getRefUser;refs;refs;3599
346;getRefGaOrg;connection;refs;3599
347;getRefGaOrg;tableJnsIdentitas;refs;3599
348;getRefGaOrg;tableJnsNib;refs;3599
349;getRefGaOrg;tableJnsNpwp;refs;3599
350;getRefGaOrg;tableJnsType;refs;3599
351;getRefGaOrg;tableJnsUserRegister;refs;3599
352;getRefGaOrg;tableTujuanUserRegister;refs;3599
353;getRefGaOrg;tableJnsUsaha;refs;3599
354;getRefGaOrg;tableGa;refs;3599
355;getRefGaOrg;tableOrganizationGa;refs;3599
356;getRefGaOrg;tableLoginType;refs;3599
357;getRefGaOrg;tablePengumuman;refs;3599
358;getRefGaOrg;refs;refs;3599
359;getKdLoginTypeRefFilter;connection;refs;3599
360;getKdLoginTypeRefFilter;tableJnsIdentitas;refs;3599
361;getKdLoginTypeRefFilter;tableJnsNib;refs;3599
362;getKdLoginTypeRefFilter;tableJnsNpwp;refs;3599
363;getKdLoginTypeRefFilter;tableJnsType;refs;3599
364;getKdLoginTypeRefFilter;tableJnsUserRegister;refs;3599
365;getKdLoginTypeRefFilter;tableTujuanUserRegister;refs;3599
366;getKdLoginTypeRefFilter;tableJnsUsaha;refs;3599
367;getKdLoginTypeRefFilter;tableGa;refs;3599
368;getKdLoginTypeRefFilter;tableOrganizationGa;refs;3599
369;getKdLoginTypeRefFilter;tableLoginType;refs;3599
370;getKdLoginTypeRefFilter;tablePengumuman;refs;3599
371;getKdLoginTypeRefFilter;refs;refs;3599
372;getPengumuman;connection;refs;3599
373;getPengumuman;tableJnsIdentitas;refs;3599
374;getPengumuman;tableJnsNib;refs;3599
375;getPengumuman;tableJnsNpwp;refs;3599
376;getPengumuman;tableJnsType;refs;3599
377;getPengumuman;tableJnsUserRegister;refs;3599
378;getPengumuman;tableTujuanUserRegister;refs;3599
379;getPengumuman;tableJnsUsaha;refs;3599
380;getPengumuman;tableGa;refs;3599
381;getPengumuman;tableOrganizationGa;refs;3599
382;getPengumuman;tableLoginType;refs;3599
383;getPengumuman;tablePengumuman;refs;3599
384;getPengumuman;refs;refs;3599
385;checkExistingSessionDBProd;connection;loginActivity;3599
386;checkExistingSessionDBProd;statusCode;loginActivity;3599
387;checkExistingSessionDBProd;table;loginActivity;3599
388;checkExistingSessionDBProd;loginActivity;loginActivity;3599
389;findExistingSessionDBProd;connection;loginActivity;3599
390;findExistingSessionDBProd;statusCode;loginActivity;3599
